pickup_date,entity_mapping,commodity,vehicle_type,pickup_city,destination_city,effective_dest,effective_lane,load_type,distance,weight,total_carrier_price,cpk,cost_per_km,days_ago,lane,pickup_province,dest_province,is_core,domestic_price,domestic_method,total_shipper_price,container,true_drop_off,gb
2024-01-19 22:30:00,Ports,سلع إستهلاكية,تريلا فرش,جدة,جدة,المدينة المنورة,جدة → المدينة المنورة,Trip,849.047,27.0,1950.0,2.29669264481236,2.29669264481236,919,جدة → جدة,Makkah Province,Makkah Province,False,2060.4936174343543,Domestic_all_time,2000.0,1,Al-Madina Al-Munawwara,2000.0
2024-05-27 23:30:00,Ports,بلاستيك,تريلا فرش,جدة,جدة,الْأَحْسَاء,جدة → الْأَحْسَاء,Trip,2596.405,27.0,5200.0,2.0027692135857076,2.0027692135857076,790,جدة → جدة,Makkah Province,Makkah Province,False,5309.987449356107,Domestic_all_time,5850.0,1,Al-Ahsa,5850.0
2024-08-02 23:30:00,Ports,بلاستيك,تريلا فرش,الدمام,الدمام,تبوك,الدمام → تبوك,Trip,3530.377,25.0,6500.0,1.8411631392341385,1.8411631392341385,723,الدمام → الدمام,Eastern Province,Eastern Province,True,7044.981529587289,Domestic_all_time,7000.0,1,Tabuk,7000.0
2024-05-25 16:00:00,Ports,زجاج ليفي,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,181.836,27.0,775.0,4.262082315933038,4.262082315933038,793,جدة → جدة,Makkah Province,Makkah Province,True,318.92543290715565,Global_CPK,1000.0,1,Jeddah,1000.0
2024-05-22 23:30:00,Ports,زجاج ليفي,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,181.836,28.0,800.0,4.3995688422534585,4.3995688422534585,795,جدة → جدة,Makkah Province,Makkah Province,True,318.92543290715565,Global_CPK,1000.0,1,Jeddah,1000.0
2024-05-06 17:00:00,Ports,زجاج ليفي,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,181.836,25.0,800.0,4.3995688422534585,4.3995688422534585,812,جدة → جدة,Makkah Province,Makkah Province,True,318.92543290715565,Global_CPK,1350.0,1,Jeddah,1350.0
2024-04-03 22:30:00,Ports,زجاج ليفي,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,161.609,28.0,750.0,4.640830646808037,4.640830646808037,844,جدة → جدة,Makkah Province,Makkah Province,True,283.4489335813179,Global_CPK,1150.0,1,Jeddah,1150.0
2024-04-27 10:00:00,Ports,بلاستيك,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,54.335,23.0,450.0,8.28195454127174,8.28195454127174,821,جدة → جدة,Makkah Province,Makkah Province,True,95.29913436838855,Global_CPK,790.0,1,Jeddah,790.0
2024-08-15 23:30:00,Ports,بلاستيك,تريلا فرش,الدمام,الدمام,الدمام,الدمام → الدمام,Trip,72.734,25.0,700.0,9.62410976984629,9.62410976984629,710,الدمام → الدمام,Eastern Province,Eastern Province,False,127.56947159566343,Global_CPK,1400.0,1,Dammam,1400.0
2021-12-14 22:59:00,Ports,بودرة طلاء,تريلا فرش,جدة,جدة,ينبع,جدة → ينبع,Trip,671.46,0.0,1100.0,1.638221189646442,1.638221189646442,1685,جدة → جدة,Makkah Province,Makkah Province,True,1365.315068015651,Domestic_all_time,1400.0,1,Yanbu,1400.0
