variant,canonical,region,province,latitude,longitude,is_province_correct,candidate_region,found_province_shape
سلوى,Salwa,Eastern,Eastern Province,29.2958319,48.0766626,False,Outside,Outside
العارضة,Al Aridah,Southern,Jazan Province,17.03563643,43.07171083,True,Southern,Jazan Province
الطرف,Al Taraf,Eastern,Eastern Province,25.3611369,49.7245592,True,Eastern,Eastern Province
Gurayat,Al Qurayyat,Northern,Al Jouf Province,31.29744114,37.41970683,True,Northern,Al Jouf Province
المجمعه,Al Majma'ah,Central,Riyadh Province,25.81525939,45.47264762,True,Central,Riyadh Province
تربة,Turabah,Western,Makkah Province,21.20859687,41.64358023,True,Western,Makkah Province
املج,Umluj,Western,Tabuk Province,25.0211468,37.27084591,True,Northern,Tabuk Province
البدائع,Al Badaya,Northern,Qassim Province,25.98580764,43.71812658,True,Northern,Qassim Province
Sabt AI Alyah,Sabt Al Alaya,Southern,Asir Province,19.57955535,41.96811032,True,Southern,Asir Province
ابو عريش,Abu Arish,Southern,Jazan Province,16.97239478,42.82861201,True,Southern,Jazan Province
Samtah,Samtah,Southern,Jazan Province,16.58940081,42.93794841,True,Southern,Jazan Province
المندق,Al Mandaq,Southern,Al Bahah Province,20.2200819,41.2507325,True,Southern,Al Bahah Province
الغاط,Al Ghat,Central,Riyadh Province,26.02695038,44.95108252,True,Central,Riyadh Province
بدر الجنوب,Badr Al Janoub,Southern,Najran Province,17.8802883,43.7190392,True,Southern,Najran Province
القرى,Al Qura,Southern,Al Bahah Province,20.4231217,41.3209993,True,Southern,Al Bahah Province
ساجر,Sajir,Central,Riyadh Province,25.1858677,44.6019551,True,Central,Riyadh Province
Al Bi adyah,Al Badaya,Northern,Qassim Province,25.98580764,43.71812658,True,Northern,Qassim Province
Sharurah,Sharurah,Southern,Najran Province,17.49026808,47.09746416,True,Southern,Najran Province
تيماء,Tayma,Northern,Tabuk Province,27.61799461,38.52350186,True,Northern,Tabuk Province
Duma AI Jandal,Dumah Al Jandal,Northern,Al Jouf Province,29.80771303,39.85764055,True,Northern,Al Jouf Province
Nafi,Nifi,Central,Riyadh Province,24.86053812,45.58294641,True,Central,Riyadh Province
سراة عبيدة,Sarat Abidah,Southern,Asir Province,18.08353236,43.12970139,True,Southern,Asir Province
مستورة,Masturah,Western,Makkah Province,23.0916759,38.8414602,True,Western,Makkah Province
Al Duwadimi,Duwadmi,Central,Riyadh Province,24.45869519,44.49837487,True,Central,Riyadh Province
البطحاء,Al Batha,Eastern,Riyadh Province,24.1307881,51.5702234,False,Eastern,Eastern Province
العرضيات,Al Ardiyat,Western,Makkah Province,19.5088554,41.6809724,True,Western,Makkah Province
العيص,Al Ais,Western,Madinah Province,25.0599399,38.1160213,True,Western,Madinah Province
صامطه,Samtah,Southern,Jazan Province,16.58940081,42.93794841,True,Southern,Jazan Province
الحرجة,Al Harajah,Southern,Asir Province,17.9360084,43.3521141,True,Southern,Asir Province
بيش,Baish,Southern,Jazan Province,17.374003,42.5362501,True,Southern,Jazan Province
رجال المع,Rijal Alma,Southern,Asir Province,18.1521824,42.1572702,True,Southern,Asir Province
الاسياح,Al Asyah,Northern,Qassim Province,26.91437973,44.13363645,True,Northern,Qassim Province
بللسمر,Ballasmer,Southern,Asir Province,18.78569401,42.25678151,True,Southern,Asir Province
ابحر,Obhur,Western,Makkah Province,21.7687734,39.1463903,True,Western,Makkah Province
Wadi AI Dawasir,Wadi Aldawaser,Central,Riyadh Province,20.68354739,44.76058224,True,Central,Riyadh Province
تثليث,Tathleeth,Southern,Asir Province,18.57971886,43.18384711,True,Southern,Asir Province
